orig,pred
ORIG,ORIG
FAULT,FAULT
FAULT,FAULT
ORIG,FAULT
ORIG,ORIG
FAULT,FAULT
FAULT,ORIG
ORIG,ORIG
ORIG,ORIG
ORIG,FAULT
ORIG,ORIG
FAULT,FAULT
FAULT,ORIG
ORIG,ORIG
ORIG,ORIG
FAULT,ORIG
FAULT,ORIG
FAULT,ORIG
ORIG,ORIG
ORIG,ORIG
ORIG,ORIG
FAULT,ORIG
ORIG,ORIG
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,ORIG
ORIG,ORIG
FAULT,FAULT
ORIG,ORIG
FAULT,ORIG
FAULT,FAULT
ORIG,ORIG
FAULT,ORIG
ORIG,ORIG
ORIG,ORIG
ORIG,ORIG
ORIG,ORIG
FAULT,ORIG
ORIG,ORIG
FAULT,FAULT
ORIG,ORIG
FAULT,FAULT
ORIG,ORIG
ORIG,FAULT
ORIG,ORIG
FAULT,FAULT
FAULT,ORIG
FAULT,FAULT
ORIG,FAULT
FAULT,ORIG
ORIG,ORIG
ORIG,ORIG
ORIG,FAULT
FAULT,ORIG
FAULT,ORIG
ORIG,ORIG
ORIG,ORIG
FAULT,ORIG
ORIG,FAULT
ORIG,ORIG
FAULT,FAULT
ORIG,ORIG
ORIG,ORIG
ORIG,ORIG
ORIG,FAULT
ORIG,ORIG
FAULT,FAULT
ORIG,ORIG
FAULT,ORIG
FAULT,FAULT
FAULT,ORIG
FAULT,ORIG
ORIG,ORIG
ORIG,ORIG
FAULT,FAULT
FAULT,ORIG
ORIG,ORIG
FAULT,ORIG
FAULT,ORIG
FAULT,ORIG
ORIG,ORIG
FAULT,FAULT
FAULT,FAULT
ORIG,ORIG
ORIG,ORIG
ORIG,ORIG
ORIG,ORIG
ORIG,FAULT
FAULT,FAULT
FAULT,ORIG
ORIG,FAULT
ORIG,ORIG
FAULT,ORIG
ORIG,ORIG
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,ORIG
ORIG,ORIG
ORIG,FAULT
FAULT,ORIG
FAULT,ORIG
FAULT,ORIG
ORIG,FAULT
FAULT,ORIG
ORIG,FAULT
ORIG,ORIG
ORIG,ORIG
ORIG,ORIG
ORIG,ORIG
ORIG,ORIG
FAULT,FAULT
FAULT,FAULT
ORIG,ORIG
ORIG,FAULT
FAULT,ORIG
ORIG,ORIG
ORIG,FAULT
FAULT,ORIG
FAULT,FAULT
ORIG,FAULT
FAULT,ORIG
ORIG,ORIG
ORIG,ORIG
ORIG,ORIG
ORIG,ORIG
FAULT,FAULT
ORIG,ORIG
ORIG,ORIG
ORIG,FAULT
FAULT,FAULT
FAULT,ORIG
FAULT,FAULT
ORIG,ORIG
FAULT,FAULT
FAULT,ORIG
ORIG,ORIG
FAULT,ORIG
FAULT,ORIG
ORIG,FAULT
ORIG,ORIG
FAULT,FAULT
ORIG,ORIG
FAULT,ORIG
ORIG,ORIG
FAULT,FAULT
ORIG,ORIG
FAULT,ORIG
FAULT,FAULT
FAULT,FAULT
FAULT,ORIG
FAULT,ORIG
FAULT,ORIG
ORIG,FAULT
FAULT,FAULT
ORIG,ORIG
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,ORIG
ORIG,ORIG
ORIG,FAULT
ORIG,ORIG
FAULT,ORIG
ORIG,ORIG
ORIG,ORIG
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,FAULT
FAULT,ORIG
FAULT,FAULT
FAULT,ORIG
FAULT,FAULT
ORIG,FAULT
ORIG,ORIG
FAULT,FAULT
ORIG,ORIG
ORIG,ORIG
FAULT,FAULT
FAULT,ORIG
FAULT,ORIG
ORIG,ORIG
FAULT,FAULT
ORIG,FAULT
FAULT,FAULT
FAULT,ORIG
ORIG,ORIG
ORIG,ORIG
ORIG,ORIG
FAULT,FAULT
FAULT,FAULT
FAULT,FAULT
ORIG,ORIG
FAULT,FAULT
ORIG,ORIG
